"uuid","magical_power","level","networth"
"000113304a8f44b78667a1957e4a70b4",350,58.77,"1,028,653,338.86"
"00018c3cfc5e4dc6869cdfd13195a014",324,137.81,"1,767,386,073.05"
"0001faf5d27b4282b07f71f87339e336",901,262.39,"7,719,116,835.92"
"00021dd2785a4ed2a10e65d12d5875a6",1666,354.8,"127,612,036,676.92"
"000390850a644fa2af881d3ff1e38f0e",1346,285.82,"13,510,516,714.91"
"00071d88154f4f1cb2126b90e75409e2",588,114.34,"925,859,845.15"
"0008121eab7242e2bff6139777ce882d",366,135.68,"444,197,912.15"
"000a63efdea14de0b37f464c74ad6d8d",1055,322.6,"13,499,374,657.89"
"000c4f24ae134b37aec8c828732a8b08",982,240.33,"7,959,525,178.08"
"000d6c5cd7144506879f231486bcfbb9",1005,326.38,"22,188,229,503.31"
"0010b2cfdc6d4bb6bfedb334321fcaa5",233,129.81,"188,967,422.02"
"001367e697eb4920b688d466166468f3",339,197.14,"9,112,125,732.50"
"0014eae4fc774d5b9a510687e9c6c937",114,63.06,"165,105,798.47"
"0015cd6fc7a7409abd766d4c71697b4a",961,238.86,"2,096,486,292.60"
"0016adcc3d484850b1a3ee5ca1dc38ad",1452,346.25,"28,617,465,917.25"
"00173a691d4b4ede9f3975fada5bcdb2",1028,261.48,"6,515,731,324.93"
"00174aa2da1f454fb888b5e962459683",744,183.26,"4,021,252,785.67"
"001846d8e3184a33b7d3002501264257",732,271.85,"9,022,210,866.90"
"00188ca4eb874191a86b354dd58c6ad3",594,210.28,"1,627,489,866.46"
"001a6b4fdb004a9a9b635f4441add37b",419,171.88,"1,655,299,665.08"
"00220afa9dcb4a56a871731e31787b49",156,43.83,"78,710,509.92"
"00238dd1c2874c84a9de41814d58c6b1",546,237.09,"2,711,237,625.83"
"00268f7fea024a608546f4c4b7754bfc",869,77.78,"4,471,484,371.89"
"00279ed2313e4da2aba7e8a28324134c",1235,264.18,"11,204,089,230.88"
"002968b3c7cd4558b0bd8e60df2acf75",1010,264.26,"11,000,512,037.06"
"002b9fc0a92a43168b7e2d54ebea41e4",1691,463.2,"63,507,689,985.16"
"002e1c99afa74db4a317970731bc14f6",1492,350.15,"23,542,772,894.38"
"002f17b82f984ea896d0c84549040211",15,7.92,"207,625.95"
"0033528536d0421eb7be5c3ba02a9d33",575,204.46,"1,829,116,055.65"
"00336fa52a9e47eda43ad95f3c37db70",1564,371.43,"50,859,536,897.70"
"00340600eb9a449eb36ee900e644f4bd",649,186.1,"1,924,106,348.42"
"0034063fe930415aaa1907af627a73e1",639,201.62,"906,045,102.12"
"0034f9b670e54e8fbca6a3499226b69f",1173,208.92,"8,655,465,617.01"
"00397dd941d54ba3bf7af40cc5772426",616,195.28,"1,275,793,170.03"
"003cd96e57d748e293d63d4800cb0266",179,42.3,"528,733,843.94"
"0042b25fc63b44e2a3215c0133ca19a8",1368,232.51,"20,335,199,597.26"
"0045eb73afd945608a82de14f5608cf3",1612,354.05,"60,912,539,770.18"
"0046565c780c4453be21eb3ad58dbfb6",604,171.09,"3,355,846,421.50"
"004c2bc4ab944533bad859b08662e58a",873,276.48,"8,602,662,996.06"
"004dad30fad64acd9510114a52d033ab",739,260.24,"7,830,002,873.11"
"004df75dd171409e9f0286e622fd9662",729,177.67,"17,349,198,600.50"
"00501d56088c40939950fcaf2fa79f29",936,224.61,"6,671,179,804.60"
"00512fb91a084443bb6f756499a54179",331,121.92,"1,017,391,078.96"
"0054cb2ea004405aa20e113abc66ec6b",759,193.9,"3,756,676,824.47"
"0055a2b0fe534050b46457982731d953",623,140.32,"1,047,812,717.24"
"0058c0d64d004c7e99de1697f6020496",754,283.9,"7,187,236,301.39"
"005b70d79ca249aea3d27edc3ed813e1",646,151.81,"1,900,708,339.39"
"005c14b03d9e4f82b111116cafd57b69",1046,236.98,"7,202,974,240.58"
"005c9ec3b83343d49bafe83e4e9831bc",701,229.13,"5,463,187,230.81"
"005fde7429344d8ab7bea0d0c7bb39ee",1056,259.43,"11,167,833,968.85"
"0060f938b71340758bafa41836dafe4b",1412,360.62,"21,464,248,127.06"
"006175ba4884475a9dcb7e1bb18a23d1",1366,397.96,"18,846,238,887.06"
"0061bcff027e4a0aa6e520c9dde20c56",1663,442.98,"57,590,749,772.50"
"006784b24b014a15b413e99068076c06",452,142.2,"2,815,876,185.00"
"006ce8c4d91f47eea67b912df4903f86",302,145.41,"979,278,577.25"
"006f92285f1f48a381f7007130aa3448",637,163.4,"1,705,689,697.39"
"007259fcc3ab472f89ba50cae8a40c50",634,201.85,"5,623,249,134.07"
"0072f1b4ec684261a8c19c82de1e7dad",665,157.3,"933,204,543.33"
"0073d17503234331885c6a9f592cce78",1094,270.75,"13,539,569,907.56"
"0074d544de9c42cc9a9cb3911fd6885e",1191,266.31,"6,758,452,964.84"
"00771e7e61064c5d89ec05f919fc3506",546,137.96,"696,971,453.70"
"0077f45e0e174dfdadc3962af1b718e7",783,209.03,"4,467,480,386.45"
"0078c15093eb48e597abd29ddd5c818e",657,248.94,"5,934,930,182.77"
"007a599c774d419697e8a0096924c793",1640,433.6,"42,012,348,926.76"
"007ea0abb3c3411998bd33a78995d4b6",77,64.66,"66,725,036.54"
"007f7ce1a5b347a6a814d54f0ca77a80",521,173.84,"1,382,113,213.83"
"00826e0f06414a4aba185a0466d406b1",869,306.52,"12,021,534,557.06"
"00835e36c42a4d398f4dd48f826440b3",579,233.7,"2,186,472,765.31"
"00883cb3d25a4e388c4d0a4df6c4d190",1602,423.65,"59,517,663,088.58"
"0088b8c516074b17a5bdadaa6b7d148c",470,171.92,"1,636,936,258.41"
"008e3e523a1142bca6b8a4cb00c2fb60",1418,231.13,"37,011,032,856.01"
"008f30047b1f4a6b95ab9ce8f42199e8",1434,350.55,"25,910,821,054.33"
"0090aa91ae6d4d87af85b61ba42df6b7",163,55.61,"80,419,771.05"
"0091783c0681440f892cab82cb18cf34",1559,379.54,"43,666,066,343.49"
"0095a7040bb640529081aa2eb5b26822",537,150.12,"1,876,184,118.61"
"009cebc4c29b4d689e2fcf23f778cff3",770,209.76,"5,493,003,840.89"
"009ff248af0a48d08546ddc0281285f4",1073,310.33,"12,783,938,973.07"
"00a0b57b2787444aabbe520a26b67f72",966,208.39,"2,594,353,169.06"
"00a22f8684c444099c978aa0bc4ebb80",826,165.28,"4,154,246,113.85"
"00a2aa362aec41e6a19a4be223f5ffc0",1405,362.58,"19,557,748,587.18"
"00a43e17882b44a6b800074ccd3e5be5",1721,445.43,"55,089,700,674.10"
"00a50c3cb1094f7892bfc8c2afc98b00",1056,282.7,"10,632,457,162.20"
"00a5f18d087b48dbaf666bd87d962299",1503,385.29,"32,812,392,212.53"
"00a96558007f455bbb56f36329c0b6b0",350,110.29,"491,755,458.48"
"00aab6c0cc174ae282e1c66e98e6d942",1121,196.8,"12,472,732,355.89"
"00acbb70627040fcb9d912430b6c5a0c",1484,413.14,"19,230,638,206.97"
"00b04f69fbad437288722c410019f54a",52,13.53,"2,833,035.11"
"00b0a1612f4541b39ba067ae76386c8d",9,31.36,"505,050,619.24"
"00b3c96ca01846ffa025b095be75b3d0",407,98,"214,281,961.14"
"00b3dedab2f34ff1988529e0456f7d3f",1655,444.18,"49,452,247,370.62"
"00b53cda98fa4c52a87fc8851b5935a9",1314,397.31,"22,253,858,929.93"
"00ba29ed7a0344b9a94594032796a322",632,174.88,"1,485,466,536.60"
"00ba58c78f2b41f681413fdd19f91a84",1057,241.11,"6,086,218,160.16"
"00bb8bec6fe94fae8e737e1176d0f5e4",1000,305.5,"6,644,397,430.01"
"00bdb886be934bd8ab05bdc9403804f6",908,304.81,"9,942,491,857.20"
"00be44693bf44fd082160e0584cebd46",547,165.17,"2,025,531,105.23"
"00c3813dd72648a99319443d66febfa7",405,151.77,"1,180,450,019.07"
"00ce802a72db49cf95f352a5f624e032",554,102.98,"2,135,053,875.42"
"00cfb40fcfaf43a287e903c66358efdc",428,79.69,"446,966,545.55"
"00d04d452852453aa35067c2c8002e37",882,241.63,"6,736,374,532.31"
"00d16dc9400f491ba967d36b5e288bec",580,189.84,"3,316,806,734.30"
